wallet,source_url,title,is_security_fix,silent_fix_prob,vuln_class,reason,mechanism
bitcore,https://github.com/bitpay/bitcore/pull/1968,"added getBalance integration test to wallet.integration.ts, updated t…",0,0.02,none,"The diff only adds an integration test for getBalance and updates a test description; it touches no wallet source, key, signing, or custody-relevant code.",other
bitcore,https://github.com/bitpay/bitcore/pull/2028,Fix/wallet integration,0,0.05,none,"The diff only updates markdown documentation files with version bumps and list/code formatting changes, touching no wallet source code or custody-relevant logic.",other
bitcore,https://github.com/bitpay/bitcore/pull/4096,[FIX] Add backward compatibility with sjcl encryption,0,0.25,none,"The PR primarily adds backward-compatible sjcl decryption fallback for older encrypted key formats (a compatibility feature), and the verifier.ts change fixes a property-access typo in a copayer uniqu",other
bitcore,https://github.com/bitpay/bitcore/pull/2065,xversion placeholder to maintain compatibility with BUcash1.5.1,0,0.05,none,"This adds a placeholder P2P message type for cross-implementation compatibility; it does not touch key material, signing, approvals, or any custody-relevant path.",other
bitgo,https://github.com/BitGo/BitGoJS/pull/6576,feat(sdk-coin-cosmos): integration of cosmos module,0,0.05,none,"This diff integrates a new Cosmos SDK coin module into the wallet's account and coin factory libraries, which is a feature addition rather than a fix for a custody-relevant vulnerability.",other
bitgo,https://github.com/BitGo/BitGoJS/pull/802,Remove webhook in wallet integration test,0,0.02,none,"This is a test-only change that adds a cleanup hook to remove a stale webhook before integration tests run, with no impact on key material, signing, or custody paths.",other
bitgo,https://github.com/BitGo/BitGoJS/pull/580,SERV-484: Recreate XLM integration test wallets,0,0.02,none,"This is a test-only change updating XLM testnet wallet IDs after a testnet reset and refactoring duplicated assertions into a helper function, with no impact on production custody or signing paths.",other
bitgo,https://github.com/BitGo/BitGoJS/pull/661,fix(core): Recreate XLM integration test wallets,0,0.02,none,"This is a test-only change updating XLM integration test wallet IDs after a quarterly testnet reset, with no impact on production custody, signing, or key material.",other
bitgo,https://github.com/BitGo/BitGoJS/pull/398,CT-489: Fix failing express integration test for v1 wallets,0,0.02,none,"The diff only adjusts integration test assertions to account for an additional input type, touching no wallet source or custody-relevant code.",other
bitgo,https://github.com/BitGo/BitGoJS/pull/1005,feat(core): add compatibility for @bitgo/utxo-lib 1.9.x,0,0.15,none,"This is a compatibility refactor replacing inline hardcoded network parameters with library-provided definitions from @bitgo/utxo-lib and removing a deprecated testnet coin, not fixing a custody-relev",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/11892,Improvements Coinbase integration,0,0.15,none,"The changes add revoked-token handling and UI improvements (dark mode, fee warnings, exchange rate display) for the Coinbase integration, which are robustness/UX fixes that do not protect key material",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/11866,Fix: Coinbase integration,0,0.15,none,"This change filters custom ERC-20 tokens from a coin list and adjusts account ordering from the Coinbase API — both are UX/data-display fixes with no impact on key material, signing authority, or fund",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/10991,"Feat: New ""Buy Crypto"" flow & Wyre integration",0,0.05,none,"This is a new feature addition (Buy Crypto flow with Wyre integration) replacing Simplex, involving config flags, CSP origin additions for the new API, provider wiring, and a dependency bump — no cust",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/7706,[v4] Fix Coinbase integration,0,0.05,none,"The diff merely comments out platform-specific code paths and adds TODOs for desktop support, introducing no security guards or custody-relevant fixes.",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/8763,Fix purchases through Coinbase integration,0,0.1,none,"The diff fixes a state-management bug in a Coinbase buy integration by passing tokens as arguments instead of using class properties, which is a functional bug fix rather than a custody-relevant secur",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/9128,Fix(Coinbase-Integration): allow only USD and US bank accounts. Fix Sell,0,0.15,none,"This restricts Coinbase buy/sell payment methods to USD US-bank-accounts and fixes an allow_buy/allow_sell copy-paste bug in the sell page, which is a business-logic/feature restriction on fiat on/off",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/7811,Feat/shapeshift integration 04,0,0.15,none,"This is a ShapeShift feature integration with config/docs/build changes and BCH support additions; no guards, validations, or key/signing path fixes are present in the diff.",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/7802,Coinbase integration: Improve errors handler,0,0.05,none,"The diff adds Bitcoin Cash support (getBitcoreCash getter), updates docs/README, bumps versions, and adjusts Cordova plugin config — no custody-relevant guard, validation, or key/signing path is modif",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/8015,[v4] BitPay Card integration,0,0.05,none,"This diff adds new UI pages, components, and SVG icon assets for a BitPay Card integration feature, with no changes to key material, signing, approval, transport, or any custody-relevant security path",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/7942,[v4] Coinbase integration,0,0.0,none,"This diff introduces a Coinbase integration feature with UI changes and external link handling, without touching any custody-relevant key, signing, or transport paths.",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/5334,Re-enable Coinbase integration,0,0.05,none,"This diff re-enables and refactors the Coinbase buy integration feature, adding UI flow and state handling for purchasing bitcoin, with no changes to key material, signing, or custody-protective guard",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/4209,Fix sell in Coinbase integration,0,0.05,none,"The diff only touches build configuration (Gruntfile), README documentation, bower dependencies, cordova build scripts, and i18n translation files — none of which affect key material, signing, approva",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/4012,Feat/coinbase integration,0,0.05,none,"This is a feature addition integrating a Coinbase buy/sell on-ramp into the wallet UI, with no guards or fixes to key/signing/approval/transport paths.",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/4083,Fix resume event on mobile for Glidera/Coinbase integration,0,0.15,none,"This fixes mobile lifecycle/resume handling and OAuth refresh-token storage for third-party exchange integrations (Coinbase/Glidera), plus a null-safety guard on cached display data; none of these tou",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/827,Shell/interop,0,0.05,none,"This diff only reformats a shell launch script and prefixes console log output with STDOUT:/STDERR: labels, touching no custody-relevant key, signing, or transport logic.",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/6117,Wavecrest card compatibility,0,0.02,none,"This is a cosmetic UI fix that formats merchant location strings in transaction history to avoid floating commas when city or state data is missing, with no impact on keys, signing, or custody.",other
bitpay-wallet,https://github.com/bitpay/wallet/pull/6751,Fix Android compatibility: walletDetails view,0,0.05,none,"The diff adds a BitcoreCash getter, updates documentation, and bumps dependencies for Android compatibility, without touching any custody or signing paths.",other
blockchain-wallet,https://github.com/blockchain/My-Wallet-V3/pull/126,fix(Helpers): replace endsWith with slice for browser compatibility,0,0.25,other,"This is a browser-compatibility refactor replacing endsWith with slice plus a minor type guard; while .onion detection could relate to transport privacy, the change does not repair a concrete custody-",other
bluewallet,https://github.com/BlueWallet/BlueWallet/pull/8585,Upgrade Arkade SDKs and harden Ark wallet integration,0,0.25,none,This is an SDK upgrade and architectural refactor that introduces new Realm-based storage with encryption and notification suppression; while the new code follows good security practices (Keychain-bac,other
bluewallet,https://github.com/BlueWallet/BlueWallet/pull/7405,TST: improve flaky integration tests,0,0.02,none,"The diff only modifies integration test files (skipping slow tests, refactoring test cases, adjusting expected transaction counts) and adds a custom test environment, with no changes to wallet source ",other
bluewallet,https://github.com/BlueWallet/BlueWallet/pull/6818,TST: add retries for integration tests on CI,0,0.02,none,"This is a CI/test-infrastructure change adding a custom Jest retry mechanism for flaky integration tests; it touches no wallet source, key, signing, or custody-relevant code.",other
bluewallet,https://github.com/BlueWallet/BlueWallet/pull/2965,REF: better Sentry integration,0,0.05,none,"This is a routine dependency version bump for the Sentry telemetry library, with no changes to wallet key/signing/approval code.",other
bluewallet,https://github.com/BlueWallet/BlueWallet/pull/666,WIP: low-level code for HW wallet PSBT integration,0,0.05,none,"This is a WIP feature adding unsigned PSBT creation for hardware wallet integration (new skipSigning flag, new derivation-path/pubkey helpers, new navigation screen), not a fix to an existing custody ",other
brave-wallet,https://github.com/brave/brave-core/pull/36127,[brockit] Adding 🩹 integration,0,0.0,none,"This change adds plaster integration to a patch management tool for browser builds, which has no relation to wallet custody, key material, or signing authority.",other
brave-wallet,https://github.com/brave/brave-core/pull/36222,[query-filter] Enable query filter component integration,0,0.15,none,"This is a privacy/anti-tracking feature refactor migrating hardcoded query-string tracker stripping to a component-based rules system; it does not touch key material, signing, approvals, or any custod",other
brave-wallet,https://github.com/brave/brave-core/pull/35932,[query-filter] Add schema integration for query-filter parsing,0,0.15,none,"This is a refactor of the query-filter (adblock) component's JSON parsing to use a schema-based compiler, with test improvements; it does not touch any custody-relevant key, signing, approval, or tran",other
brave-wallet,https://github.com/brave/brave-core/pull/35610,[ads][CodeHealth] Add TestBase constructor to set integration test mode,0,0.05,none,"This is a code-health refactor adding a TestBase constructor for integration test mode and making some member variables const, with no changes to key handling, signing, or custody-relevant validation.",other
brave-wallet,https://github.com/brave/brave-core/pull/34457,Re-Enable Screen AI features and ai_chat pdf ocr integration,0,0.05,none,"This PR re-enables Screen AI/OCR features and adds browser tests for PDF OCR integration, with no changes to key material, signing, approval, transport, or any custody-relevant subsystem.",other
brave-wallet,https://github.com/brave/brave-core/pull/32483,[NTP] Fix most visited top sites integration,0,0.05,none,"This is a UI preference migration for the new tab page top-sites feature, changing an integer pref to a boolean, with no custody, key, signing, or transport relevance.",other
brave-wallet,https://github.com/brave/brave-core/pull/31303,[Android] Initial integration of Brave adaptive buttons,0,0.05,none,"This change adds a new bookmarks button to the Brave Android browser toolbar UI and is a feature addition with no custody, key, or signing relevance.",other
brave-wallet,https://github.com/brave/brave-core/pull/31308,[ads] Dynamic NTT Brave Search integration,0,0.15,none,This is a feature addition integrating Brave Search autocomplete with the Dynamic NTT on the new tab page; the message-validation guards added are incidental defensive coding as part of implementing n,other
brave-wallet,https://github.com/brave/brave-core/pull/30892,[Midnight] Add kDarker variant to SchemeVariant enum for color mixer integration,0,0.02,none,"This adds a new browser UI theme variant (kDarker) and associated tests; it touches no key, signing, approval, or transport paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/30242,[Android] Initial integration of quick shortcut button,0,0.05,none,"This PR adds a new toolbar quick-shortcut UI feature with drawables and preference plumbing; it touches no key, signing, approval, or transport paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/29790,feat(iOS): Meld Integration for onRamp,0,0.05,none,"This PR adds a new fiat on-ramp provider (Meld) integration and swaps buy-provider icon assets, which is a feature/UI change with no impact on key material, signing, approvals, or transport.",other
brave-wallet,https://github.com/brave/brave-core/pull/30085,fix(wallet): Change the logic to detect if asset for purchase using meld integration is available,0,0.15,none,"This is a UX/feature change refining buy-button availability detection and account-creation prompting logic; it does not touch key material, signing, approvals, or any custody-relevant guard.",other
brave-wallet,https://github.com/brave/brave-core/pull/28975,Cardano transactions ui integration,0,0.15,none,"This is a feature PR adding Cardano transaction support to the wallet UI, with accompanying refactoring of the Bitcoin transaction manager API and P3A metrics updates; no custody-relevant defect is be",other
brave-wallet,https://github.com/brave/brave-core/pull/29218,[Android] Initial integration of robolectric tests,0,0.0,none,"This PR adds Robolectric unit tests for homepage settings UI and build configuration for those tests, with no changes to custody-relevant code.",other
brave-wallet,https://github.com/brave/brave-core/pull/27542,[Android] Initial bottom address bar integration,0,0.05,none,"This is a UI feature change for bottom address bar integration, renaming configuration methods and adjusting menu button visibility, with no custody-relevant guards or key/signing path changes.",other
brave-wallet,https://github.com/brave/brave-core/pull/27005,Adding Crowdin integration to l10n scripts.,0,0.02,none,"This PR adds Crowdin localization integration to build/l10n scripts and touches no key material, signing, approval, transport, or any custody-relevant code path.",other
brave-wallet,https://github.com/brave/brave-core/pull/14298,Jupiter desktop integration for Solana swaps,0,0.15,none,"This is a feature addition for Jupiter swap integration, threading a new optional group_id parameter through the ETH transaction manager and adding a disclaimer string; no guard, validation, or exploi",other
brave-wallet,https://github.com/brave/brave-core/pull/25051,feature(wallet): Compressed NFT integration on iOS,0,0.05,none,"This is a feature addition for compressed NFT integration (new metadata APIs, Solana compressed NFT support) with associated type refactoring from a local NFTMetadata struct to BraveWallet.NftMetadata",other
brave-wallet,https://github.com/brave/brave-core/pull/24940,[Meld Integration] Add api call to create Buy/Sell link,0,0.15,none,This PR adds a new feature (Meld Buy/Sell widget creation) with a new JSON parser and URL validation; it is not repairing a pre-existing exploitable defect in a custody-relevant path.,other
brave-wallet,https://github.com/brave/brave-core/pull/24273,[iOS] - Introduce SlashTools and Search Integration,0,0.02,none,"This diff adds SlashTools UI and search integration to the AI Chat feature; it touches no key, signing, approval, or transport paths and is purely a feature/UI change.",other
brave-wallet,https://github.com/brave/brave-core/pull/10339,Domain block and 1PES integration,0,0.15,none,"This adds a browser privacy feature (auto-enabling ephemeral storage on domain-block interstitials) with flags, UI strings, and test refactors; it does not touch key material, signing, approvals, or a",other
brave-wallet,https://github.com/brave/brave-core/pull/24518,[Meld Core Integration] Add CountryCode retrieving method to the BraveWallet,0,0.05,none,"This change adds a new method to retrieve the user's country code from preferences, which is a feature addition unrelated to custody, keys, or signing.",other
brave-wallet,https://github.com/brave/brave-core/pull/24297,[iOS] - Introduce SlashTools and Search Integration - 1.68.x,0,0.05,none,"The diff only modifies the CODEOWNERS file and the PR introduces a SlashTools/search UI feature; no custody-relevant key, signing, approval, transport, or platform defect is being repaired.",other
brave-wallet,https://github.com/brave/brave-core/pull/24305,"Buy & Sell Meld Core Integration, add additional Filtering parameter",0,0.05,none,"This PR adds a new cryptoChains filter parameter to the Meld buy/sell integration URL builder, a feature addition with no custody-relevant impact.",other
brave-wallet,https://github.com/brave/brave-core/pull/22979,Buy & Sell Meld Core Integration,0,0.05,none,"This PR adds a new Meld integration service factory for buy/sell functionality, which is a feature addition with no security guards or fixes to custody-relevant paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/20972,Fix SKUs logs integration.,0,0.15,none,"This is a logging verbosity/formatting cleanup in the SKUs browser component — it adjusts log severity mapping and removes source locations from pretty-printed logs, with no connection to key material",other
brave-wallet,https://github.com/brave/brave-core/pull/19385,🐙 Unlock Android Studio integration,0,0.0,none,"This change adds build tooling and Android Studio integration scripts, which does not touch any custody-relevant subsystems.",other
brave-wallet,https://github.com/brave/brave-core/pull/91,Sparkle framework integration,0,0.1,none,"This diff adds the initial Sparkle auto-update framework integration to the macOS build, which is a new feature rather than a fix to an existing custody-relevant defect.",other
brave-wallet,https://github.com/brave/brave-core/pull/17763,Add 0x RFQ-T integration in Swap,0,0.25,none,This is primarily a feature PR adding 0x RFQ-T swap integration; the ABI decoder refactoring adds type-safe bounds checking for various uint widths but does not clearly fix an exploitable custody-rele,other
brave-wallet,https://github.com/brave/brave-core/pull/15762,feat(swap): add Swap v2 integration,0,0.05,none,"This PR adds localized UI strings and parses new fields (price impact, sources) for a Swap v2 feature; it does not touch key material, signing, approvals, or any custody-relevant security path.",other
brave-wallet,https://github.com/brave/brave-core/pull/14697,Page Graph core integration,0,0.05,none,"This diff integrates Page Graph build flags and devtools protocol plumbing, which is a feature/build-config change with no impact on wallet custody, key material, or signing paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/14329,Add backend changes for Sardine integration,0,0.05,none,"This diff adds a new Sardine on-ramp provider integration (URL building, config, auth-token parsing) as a feature, not a fix to any custody, signing, or key-material defect.",other
brave-wallet,https://github.com/brave/brave-core/pull/13387,Cross platform integration (Android),0,0.15,none,"This is a feature addition enabling Android VPN purchase token retrieval and forwarding to the Brave backend; it does not touch crypto key material, signing, or fund custody paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/13792,Wallet panel and settings integration tests,0,0.05,none,"The diff is purely cosmetic formatting (spacing) plus test-only element exposure hooks guarded by shouldExposeElementsForTesting, with no custody-relevant logic changes.",other
brave-wallet,https://github.com/brave/brave-core/pull/11587,Rewards bitflyer android integration,0,0.15,none,"This is a feature addition for Bitflyer rewards integration on Android, adding new UI layouts, drawables, and JNI bridge methods for rewards panel functionality, with no custody-relevant key/signing/a",other
brave-wallet,https://github.com/brave/brave-core/pull/11849,Improve goma integration and cachehits,0,0.05,none,This is a build-system/CI change improving goma integration and ninja configuration with no custody-relevant code touched.,other
brave-wallet,https://github.com/brave/brave-core/pull/9131,Brave Vpn api integration,0,0.05,none,"This PR adds a new Brave VPN integration feature (native worker and observer for server regions and purchase tokens) and does not touch any custody-relevant key, signing, approval, or transport path.",other
brave-wallet,https://github.com/brave/brave-core/pull/6916,Updated Startpage integration,0,0.05,none,"The diff merely corrects a search engine branding string and URL in prepopulated engine data, with no custody, key, signing, or transport relevance.",other
brave-wallet,https://github.com/brave/brave-core/pull/1266,SafetyNet integration,0,0.15,none,"This adds SafetyNet attestation as an anti-fraud mechanism for claiming Brave Rewards grants on Android, which is a feature addition unrelated to crypto wallet custody, key material, or signing author",other
brave-wallet,https://github.com/brave/brave-core/pull/198,Native ledger integration,0,0.05,none,"This is an initial feature addition wiring up a Brave native ledger/payments service with new vendor dependencies and factory boilerplate, not a fix for any existing custody-relevant defect.",other
brave-wallet,https://github.com/brave/brave-core/pull/5389,Initial integration of UI java tests for Android,0,0.05,none,"This PR adds Android UI test infrastructure (ProGuard keep flags and test classes) with no changes to key, signing, approval, or custody-relevant code paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/30853,[iOS] Enable design compatibility mode for iOS 26,0,0.05,none,"This adds an Info.plist key to disable a new iOS design language for UI compatibility, with no impact on key material, signing, or custody paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/23232,Add channel to web compatibility report,0,0.05,none,"This change adds a channel field to webcompat reports and refactors endpoint configuration, with no impact on custody, keys, signing, or any security-relevant path.",other
brave-wallet,https://github.com/brave/brave-core/pull/19444,Solana dapp compatibility fix: Change request in progress error to -32002,0,0.15,none,"This changes an error code/message returned to dapps for in-progress connect requests to improve dapp compatibility, not to protect keys, signing, or funds.",other
brave-wallet,https://github.com/brave/brave-core/pull/14182,Uplift scripts py2 and py3 compatibility,0,0.05,none,"This is a Python 2/3 compatibility refactor of build/release scripts, touching no wallet key/signing/transport paths.",other
brave-wallet,https://github.com/brave/brave-core/pull/8928,Update audit_deps ignore list and add npm 7 compatibility,0,0.05,none,"This diff only updates a CI dependency-audit script's ignore list and npm 7 JSON parsing compatibility, touching no wallet key/signing/custody code.",other
brave-wallet,https://github.com/brave/brave-core/pull/4273,Improve compatibility with MetaMask and allow web3 provider selection,0,0.15,none,"This is a feature change that replaces a boolean wallet-enabled toggle with a multi-option web3 provider selector (Ask/None/Crypto Wallets/MetaMask), adding UI strings, preference migration, and file ",other
breez,https://github.com/breez/breezmobile/pull/55,Bitrefill widget integration,0,0.15,none,"This diff adds a new Marketplace feature (bloc, UI page, vendor config parsing) and refactors theme colors; no custody-relevant guard, validation, or signing/key path is touched.",other
breez,https://github.com/breez/breezmobile/pull/67,Freebitcoins UI Integration,0,0.05,none,"This is a feature addition implementing Fastbitcoins voucher redemption UI with minor bug fixes (typo correction, API error handling) that do not touch key material, signing, approval, or any custody-",other
breez,https://github.com/breez/breezmobile/pull/1329,"Cleanup FFmpegKit, Pin Dependencies, Update Platform Compatibility",0,0.05,none,"This is a build/CI compatibility update (Xcode 16, AGP 8.1, dependency pinning, removal of FFmpegKit feature) with no changes to key, signing, or custody paths.",other
breez,https://github.com/breez/breezmobile/pull/1330,Update & optimize CI workflow for App Store Connect compatibility,0,0.05,none,"This is a CI/build workflow update to strip bitcode and modernize build steps for App Store Connect compatibility, with no changes to key material, signing, approval, transport, or any custody-relevan",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/1830,Shopify integration,0,0.05,none,"This is a new feature adding a Shopify e-commerce checkout integration with BTCPayServer, consisting of new browser-client and checkout UI scripts that create and poll invoices; it does not touch key ",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/5419,Boltcard integration,0,0.05,none,"This is a feature addition for Boltcard NFC card pairing with pull payments, adding new API endpoints, data models, a database migration, and tests — no security guard or custody-relevant defect is be",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/3400,Zcash integration,0,0.05,none,"This is a new feature addition adding Zcash altcoin integration (network provider, RPC client, models) to BTCPayServer, not a fix to any existing custody or signing vulnerability.",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/3046,Add setup links for LN URL integration,0,0.05,none,"This PR adds UI setup links and helper methods to check Lightning/LNURL configuration status, which is a feature/UX improvement with no impact on key material, signing, or custody.",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/1908,"Shopify registering paid transactions, marking orders paid, finishing integration",0,0.05,none,"This diff adds a new Shopify e-commerce integration feature (new controllers, endpoints, and order-matching logic) to BTCPayServer, not a fix to any custody, key, signing, or transport vulnerability.",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/1599,Remove LedgerWallet direct integration,0,0.15,none,"This is a feature removal/deprecation of the direct LedgerWallet integration (package, views, controller endpoints, signing command), not a fix for a specific exploitable defect in key handling, signi",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/7394,Add plugin compatibility regression check to release CI,0,0.02,none,"This is a CI/release-tooling change that adds a baseline plugin compatibility regression check and makes it non-blocking; it touches no wallet key, signing, approval, or transport code paths.",other
btcpay,https://github.com/btcpayserver/btcpayserver/pull/4587,Add missing CORS to ln address of BTCPay (Compatibility Beach Wallet),0,0.1,none,"This change adds CORS support and disables antiforgery tokens for a public LNURL endpoint to fix wallet compatibility, which is a feature/compatibility fix rather than a custody security vulnerability",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/2184,CW-1039-Verify-Robinhood-integration,0,0.05,none,"This adds a feature to fetch and filter supported crypto assets from the Robinhood buy API; it touches the fiat on-ramp/buy flow, not key material, signing, approvals, or any custody-relevant path.",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/2172,Cw 1032 verify on ramper integration,0,0.1,none,"This is an ordinary integration update to the OnRamper fiat on-ramp provider — changing API parameter names, currency normalization logic, and adding metadata caching — with no changes to key material",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/2174,AnonPay-integration-nonfunctional-in-Monero-com,0,0.25,none,"This adds a wallet-type guard to prevent non-bitcoin wallets from entering bitcoin-specific receive-page logic, which is a functional bug fix for AnonPay integration in Monero rather than a custody-re",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/1686,Automated Integration Tests Flows,0,0.02,none,"This PR only adds integration test helpers and flows (create/restore wallet, transaction history tests) plus pubspec config tweaks; no wallet source, key, signing, or transport code is modified.",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/1376,Cw 591 in app cake pay integration,0,0.05,none,"This PR adds a new Cake Pay gift-card integration feature with HTTP API client code and CI secret injection; it does not touch wallet key material, signing, approval, or any custody-relevant path.",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/1080,Exolix integration,0,0.05,none,"This PR adds a new third-party exchange provider (Exolix) integration with rate fetching and trade creation logic, which is a feature addition with no custody-relevant defect being repaired.",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/1120,Exolix integration: bugfix apiToken on fetchRates,0,0.05,none,"This is a feature integration adding a new third-party exchange provider (Exolix) with an API token for rate queries, not a fix to any custody, key, signing, or transport vulnerability.",other
cake-wallet,https://github.com/cake-tech/cake_wallet/pull/3106,feat: migrate Trade data to SQLite with TradeLegacy for backward compatibility,0,0.15,none,"This is a data-layer migration of Trade records from Hive to SQLite with backward-compatibility shims and DI refactoring; it does not touch key material, signing, approvals, or any custody-relevant pa",other
coinbase-sdk,https://github.com/coinbase/coinbase-wallet-sdk/pull/302,Remove backwards compatibility code,0,0.15,none,"This is a backwards-compatibility cleanup removing legacy boolean response handling for chain-switching, not a fix for any custody-relevant defect.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/3396,CP-12582: Balance Service Integration,0,0.05,none,"This is a feature integration of a new backend balance service, refactoring balance fetching and display logic with no custody-relevant key, signing, approval, or transport changes.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/3383,CP-12642: Profile service integration,0,0.15,none,"This is a feature integration (Profile Service client) and refactor of API client paths, replacing a raw fetch with a generated client; no custody-relevant guard, validation, or key/signing protection",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/3021,Keystone<>Core Mobile integration,0,0.05,none,"This is a new feature adding Keystone hardware wallet QR scanner integration (mocks, icons, UI component), not a fix to any existing custody-relevant defect.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/2210,CP-9670: Glacier scan token endpoint integration,0,0.15,none,"This change adds a new feature integrating a third-party malicious-token detection service with UI warnings and state renaming, rather than fixing an existing wallet defect that could lead to fund or ",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/2191,QA New - Staking & CrossChain Transfer mobile integration with Core.App,0,0.05,none,"This PR adds e2e test infrastructure (playwright/detox helpers, locators, page objects) and a testID attribute to a UI text component; it does not touch key material, signing, approval, or transport l",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/1747,CP-9102: unified-bridge integration,0,0.05,none,This PR replaces one bridge SDK with another and adds an SVG logo asset; it is a feature/refactor change with no custody-relevant guard or validation added.,other
core-mobile,https://github.com/ava-labs/core-mobile/pull/1420,QA - New tests for inAppBrowser wallet connect integration,0,0.02,none,"The diff only adds testIDs and e2e test automation for in-app browser wallet-connect flows; no custody-relevant guard, validation, or signing/key path is changed.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/1370,CP-8804 [EVM] Network fee service integration,0,0.15,none,"This is a refactor replacing the EVM fee estimation implementation with a module-based approach; it touches fee display/estimation logic, not key material, signing, or approval paths, and the added .c",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/1217,Qa core integration test,0,0.05,none,"This is a test/CI change adding e2e integration tests, detox workflows, locators, and page objects; the only non-test source change (Browser.tsx) adds javaScriptEnabled and a testID for test automatio",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/807,[QA] Core.app dapp integration test,0,0.02,none,"This is a test-only change adding an e2e dapp integration test and adjusting Playwright config; no wallet source, key, signing, or transport code is modified.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/700,CP-5194:Playwright integration,0,0.0,none,"This change introduces Playwright e2e testing infrastructure and a test case for WalletConnect, which does not modify wallet custody, signing, or transport code.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/459,Tyler start testrail integration,0,0.05,none,"This PR adds test IDs, Detox configuration, and TestRail reporting for E2E tests; it does not alter any key, signing, approval, or transport logic.",other
core-mobile,https://github.com/ava-labs/core-mobile/pull/62,Libs integration,0,0.05,none,"This is a dependency integration and version bump change (adding avalanche SDK, bumping react-native-webview and other packages, adding resolutions) with no fix to the wallet's own custody-relevant co",other
daedalus,https://github.com/input-output-hk/daedalus/pull/2103,[DDW-319] Update network-info Api endpoint integration,0,0.05,none,"This change updates the network-info API integration to gracefully handle missing epoch/slot data by showing loading spinners instead of defaulting to zero, which is a UI/UX fix with no custody releva",other
daedalus,https://github.com/input-output-hk/daedalus/pull/2210,[DDW-291] Smart Tooltip MVP integration,0,0.05,none,"This PR is a UI component migration from Tooltip to PopOver in react-polymorph, touching only presentation/styling code with no custody-relevant key, signing, approval, or transport logic.",other
daedalus,https://github.com/input-output-hk/daedalus/pull/72,setup basic integration with cardano-client-api,0,0.05,none,"This PR adds a new Cardano client API integration and refactors stub API return types to domain objects, which is a feature/integration change with no security guards or fixes for exploitable conditio",other
daedalus,https://github.com/input-output-hk/daedalus/pull/438,Fix/daef 434 Exporting a wallet updated-API integration,0,0.15,none,"This is an API integration update for wallet export (adding walletId/password params to the backend call), plus i18n translations, error-display UI, and SCSS cleanup — no custody-relevant defect is be",other
daedalus,https://github.com/input-output-hk/daedalus/pull/87,Feature/improve backend transaction integration,0,0.05,none,"This is a feature PR adding a transaction title field, switching the history API endpoint, and updating transaction data parsing — none of the changes address key material, signing authority, or fund ",other
